song_id,artist_id,artist_name,title,year
SOMZWCG12A8C13C480,ARD7TVE1187B99BFB1,Casual,I Didn't Mean To,0
SOCIWDW12A8C13D406,ARMJAGH1187FB546F3,The Box Tops,Soul Deep,1969
SOXVLOJ12AB0189215,ARKRRTF1187B9984DA,Sonora Santanera,Amor De Cabaret,0
SONHOTT12A8C13493C,AR7G5I41187FB4CE6C,Adam Ant,Something Girls,1982
SOFSOCN12A8C143F5D,ARXR32B1187FB57099,Gob,Face the Ashes,2007
SOYMRWW12A6D4FAB14,ARKFYS91187B98E58F,Jeff And Sheri Easter,The Moon And I (Ordinary Day Album Version),0
SOMJBYD12A6D4F8557,ARD0S291187B9B7BF5,Rated R,Keepin It Real (Skit),0
SOHKNRJ12A6701D1F8,AR10USD1187B99F3F1,Tweeterfriendly Music,Drop of Rain,0
SOIAZJW12AB01853F1,AR8ZCNI1187B9A069B,Planet P Project,Pink World,1984
SOUDSGM12AC9618304,ARNTLGG11E2835DDB9,Clp,Insatiable (Instrumental Version),0
SOQHXMF12AB0182363,ARGSJW91187B9B1D6B,JennyAnyKind,Young Boy Blues,0
SOKEJEJ12A8C13E0D0,ARC43071187B990240,Wayne Watson,The Urgency (LP Version),0
SOMUYGI12AB0188633,ARL7K851187B99ACD2,Andy Andy,La Culpa,0
SORAMLE12AB017C8B0,ARHHO3O1187B989413,Bob Azzam,Auguri Cha Cha,0
SOBONFF12A6D4F84D8,ARIK43K1187B9AE54C,Lionel Richie,Tonight Will Be Alright,1986
SOHUOAP12A8AE488E9,ARD842G1187B997376,Blue Rodeo,Floating,1987
SOUQQEA12A8C134B1B,ARIG6O41187B988BDD,Richard Souther,High Tide,0
SOILPQQ12AB017E82A,AR1ZHYZ1187FB3C717,Faiz Ali Faiz,Sohna Nee Sohna Data,0
SOXLBJT12A8C140925,ARYKCQI1187FB3B18F,Tesla,Caught In A Dream,2004
SOZVMJI12AB01808AF,ARNPAGP1241B9C7FD4,lextrical,Synthetic Dream,0
SOWTBJW12AC468AC6E,ARQGYP71187FB44566,Jimmy Wakely,Broken-Down Merry-Go-Round,0
SOBEBDG12A58A76D60,ARI3BMM1187FB4255E,Alice Stuart,Kassie Jones,0
SOZCTXZ12AB0182364,AR5KOSW1187FB35FF4,Elena,Setanta matins,0
SOBBUGU12A8C13E95D,ARMAC4T1187FB3FA4C,The Dillinger Escape Plan,Setting Fire to Sleeping Giants,2004
SOBLGCN12AB0183212,AR47JEX1187B995D81,SUE THOMPSON,James (Hold The Ladder Steady),1985
